loss,r2,mse,rmse,mae,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.005806089844554663,0.36359942979299975,0.005806089844554663,0.0761977023574508,0.055460453033447266,1744706407,,False,1,30629_00006,2025-04-15_10-40-07,0.20521116256713867,0.20521116256713867,1076638,admiral-MS-7D30,10.33.32.101,0.20521116256713867,1
0.004754798952490091,0.4847450867502302,0.004754798952490091,0.06895505023194524,0.046428460627794266,1744706407,,False,2,30629_00006,2025-04-15_10-40-07,0.20621919631958008,0.41143035888671875,1076638,admiral-MS-7D30,10.33.32.101,0.41143035888671875,2
0.0034872260875999928,0.5754527122689413,0.0034872260875999928,0.05905273988224418,0.041760291904211044,1744706407,,False,3,30629_00006,2025-04-15_10-40-07,0.22664475440979004,0.6380751132965088,1076638,admiral-MS-7D30,10.33.32.101,0.6380751132965088,3
0.0031284221913665533,0.6655224801662074,0.0031284221913665533,0.05593230007219937,0.038390226662158966,1744706408,,False,4,30629_00006,2025-04-15_10-40-08,0.24475383758544922,0.882828950881958,1076638,admiral-MS-7D30,10.33.32.101,0.882828950881958,4
0.002324020257219672,0.7420891133023675,0.002324020257219672,0.048208093275088904,0.03544053062796593,1744706408,,False,5,30629_00006,2025-04-15_10-40-08,0.2257218360900879,1.108550786972046,1076638,admiral-MS-7D30,10.33.32.101,1.108550786972046,5
0.0023876731283962727,0.766161323247615,0.0023876731283962727,0.04886382228598447,0.03385690599679947,1744706408,,False,6,30629_00006,2025-04-15_10-40-08,0.22663211822509766,1.3351829051971436,1076638,admiral-MS-7D30,10.33.32.101,1.3351829051971436,6
0.0019994843751192093,0.7628556534469411,0.0019994843751192093,0.04471559431696295,0.03189852461218834,1744706408,,False,7,30629_00006,2025-04-15_10-40-08,0.23323655128479004,1.5684194564819336,1076638,admiral-MS-7D30,10.33.32.101,1.5684194564819336,7
0.0016630011377856135,0.8345065391642761,0.0016630011377856135,0.04077991095852974,0.02956477366387844,1744706408,,False,8,30629_00006,2025-04-15_10-40-08,0.22669434547424316,1.7951138019561768,1076638,admiral-MS-7D30,10.33.32.101,1.7951138019561768,8
0.001754248165525496,0.813492743396579,0.001754248165525496,0.041883745839233336,0.02955777756869793,1744706409,,False,9,30629_00006,2025-04-15_10-40-09,0.22513413429260254,2.0202479362487793,1076638,admiral-MS-7D30,10.33.32.101,2.0202479362487793,9
0.0013910004636272788,0.861358124095325,0.0013910004636272788,0.0372961186134332,0.026646947488188744,1744706409,,False,10,30629_00006,2025-04-15_10-40-09,0.2283022403717041,2.2485501766204834,1076638,admiral-MS-7D30,10.33.32.101,2.2485501766204834,10
0.0017489977180957794,0.8048009458912311,0.0017489977180957794,0.04182102005087608,0.029544813558459282,1744706409,,False,11,30629_00006,2025-04-15_10-40-09,0.22387409210205078,2.472424268722534,1076638,admiral-MS-7D30,10.33.32.101,2.472424268722534,11
0.0012785239377990365,0.8550447634834258,0.0012785239377990365,0.03575645309309966,0.02573026530444622,1744706409,,False,12,30629_00006,2025-04-15_10-40-09,0.21755695343017578,2.68998122215271,1076638,admiral-MS-7D30,10.33.32.101,2.68998122215271,12
0.0013302932493388653,0.8540619670275791,0.0013302932493388653,0.03647318534675667,0.026663316413760185,1744706410,,False,13,30629_00006,2025-04-15_10-40-10,0.21077418327331543,2.9007554054260254,1076638,admiral-MS-7D30,10.33.32.101,2.9007554054260254,13
0.0016782786697149277,0.8258237707498467,0.0016782786697149277,0.040966799603031324,0.028325846418738365,1744706410,,False,14,30629_00006,2025-04-15_10-40-10,0.24003958702087402,3.1407949924468994,1076638,admiral-MS-7D30,10.33.32.101,3.1407949924468994,14
0.001587505335919559,0.8527407825753406,0.001587505335919559,0.03984351058729086,0.027120137587189674,1744706410,,False,15,30629_00006,2025-04-15_10-40-10,0.21772217750549316,3.3585171699523926,1076638,admiral-MS-7D30,10.33.32.101,3.3585171699523926,15
0.0012273711618036032,0.870168968167392,0.0012273711618036032,0.03503385736403577,0.025092408061027527,1744706410,,True,16,30629_00006,2025-04-15_10-40-10,0.22379446029663086,3.5823116302490234,1076638,admiral-MS-7D30,10.33.32.101,3.5823116302490234,16
