loss,r2,mse,rmse,mae,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.000852587225381285,-4.450321245427544,0.000852587225381285,0.029199096311038206,0.010774466209113598,1745591619,,False,1,42a7f_00000,2025-04-25_16-33-39,4.5563883781433105,4.5563883781433105,58239,gorchfock,10.33.20.59,4.5563883781433105,1
0.0002374390751356259,-0.5212366187269502,0.0002374390751356259,0.01540905821702371,0.010109852999448776,1745591621,,False,2,42a7f_00000,2025-04-25_16-33-41,1.7936904430389404,6.350078821182251,58239,gorchfock,10.33.20.59,6.350078821182251,2
0.00022007900406606495,-0.4072385993292593,0.00022007900406606495,0.014835059961660586,0.009621381759643555,1745591623,,False,3,42a7f_00000,2025-04-25_16-33-43,2.3275303840637207,8.677609205245972,58239,gorchfock,10.33.20.59,8.677609205245972,3
0.00022017568699084222,-0.42273569983552317,0.00022017568699084222,0.014838318199541423,0.009656406939029694,1745591625,,False,4,42a7f_00000,2025-04-25_16-33-45,1.8295466899871826,10.507155895233154,58239,gorchfock,10.33.20.59,10.507155895233154,4
0.0002286698727402836,-0.48129551862117514,0.0002286698727402836,0.015121834304748998,0.009798472747206688,1745591627,,False,5,42a7f_00000,2025-04-25_16-33-47,1.764704704284668,12.271860599517822,58239,gorchfock,10.33.20.59,12.271860599517822,5
0.09199898689985275,-592.5575203515617,0.09199898689985275,0.3033133477113277,0.015407362021505833,1745591628,,False,6,42a7f_00000,2025-04-25_16-33-48,1.7617051601409912,14.033565759658813,58239,gorchfock,10.33.20.59,14.033565759658813,6
0.00026354336296208203,-0.693865287193169,0.00026354336296208203,0.016234018694152166,0.010135211050510406,1745591630,,False,7,42a7f_00000,2025-04-25_16-33-50,1.7864892482757568,15.82005500793457,58239,gorchfock,10.33.20.59,15.82005500793457,7
0.00022864453785587102,-0.47645864423674644,0.00022864453785587102,0.01512099658937436,0.009895903058350086,1745591632,,False,8,42a7f_00000,2025-04-25_16-33-52,1.8629446029663086,17.68299961090088,58239,gorchfock,10.33.20.59,17.68299961090088,8
0.00022433117555920035,-0.4338848024866473,0.00022433117555920035,0.014977689259668874,0.009757093153893948,1745591634,,False,9,42a7f_00000,2025-04-25_16-33-54,2.1800732612609863,19.863072872161865,58239,gorchfock,10.33.20.59,19.863072872161865,9
0.00021477985137607902,-0.37257124671126585,0.00021477985137607902,0.014655369370168704,0.00961027480661869,1745591636,,False,10,42a7f_00000,2025-04-25_16-33-56,1.8461663722991943,21.70923924446106,58239,gorchfock,10.33.20.59,21.70923924446106,10
0.00022895769507158548,-0.47351844610000793,0.00022895769507158548,0.015131348091679918,0.009868227876722813,1745591638,,False,11,42a7f_00000,2025-04-25_16-33-58,1.701298713684082,23.41053795814514,58239,gorchfock,10.33.20.59,23.41053795814514,11
0.00022637609799858183,-0.4566978106384789,0.00022637609799858183,0.015045800011916343,0.009862596169114113,1745591639,,False,12,42a7f_00000,2025-04-25_16-33-59,1.7018308639526367,25.11236882209778,58239,gorchfock,10.33.20.59,25.11236882209778,12
0.002903234213590622,-17.47560423942632,0.002903234213590622,0.05388166862292427,0.012313314713537693,1745591641,,False,13,42a7f_00000,2025-04-25_16-34-01,1.70609712600708,26.81846594810486,58239,gorchfock,10.33.20.59,26.81846594810486,13
0.0002284492366015911,-0.4631269516891434,0.0002284492366015911,0.015114537260584298,0.009766541421413422,1745591643,,False,14,42a7f_00000,2025-04-25_16-34-03,1.7077088356018066,28.526174783706665,58239,gorchfock,10.33.20.59,28.526174783706665,14
0.0002190039085689932,-0.40340908823459065,0.0002190039085689932,0.014798780644667763,0.00959658995270729,1745591645,,False,15,42a7f_00000,2025-04-25_16-34-05,1.7038600444793701,30.230034828186035,58239,gorchfock,10.33.20.59,30.230034828186035,15
0.00022260785044636577,-0.4397496641935772,0.00022260785044636577,0.014920048607372758,0.009761505760252476,1745591646,,False,16,42a7f_00000,2025-04-25_16-34-06,1.704275131225586,31.93430995941162,58239,gorchfock,10.33.20.59,31.93430995941162,16
0.00021379541431088,-0.37643916470674066,0.00021379541431088,0.014621744571386822,0.009616701863706112,1745591648,,False,17,42a7f_00000,2025-04-25_16-34-08,1.7032277584075928,33.637537717819214,58239,gorchfock,10.33.20.59,33.637537717819214,17
0.0008401177474297583,-4.425064727906443,0.0008401177474297583,0.028984784757347403,0.01043400727212429,1745591650,,False,18,42a7f_00000,2025-04-25_16-34-10,1.7031588554382324,35.340696573257446,58239,gorchfock,10.33.20.59,35.340696573257446,18
0.00022033571440260857,-0.4267157740252052,0.00022033571440260857,0.014843709590348654,0.00972058717161417,1745591651,,False,19,42a7f_00000,2025-04-25_16-34-11,1.705824613571167,37.04652118682861,58239,gorchfock,10.33.20.59,37.04652118682861,19
0.0002705916704144329,-0.7446700184073056,0.0002705916704144329,0.016449670829972035,0.010443920269608498,1745591653,,False,20,42a7f_00000,2025-04-25_16-34-13,1.7026681900024414,38.749189376831055,58239,gorchfock,10.33.20.59,38.749189376831055,20
0.00021474553795997053,-0.3822995274406007,0.00021474553795997053,0.014654198646120864,0.009537668898701668,1745591655,,False,21,42a7f_00000,2025-04-25_16-34-15,1.703416347503662,40.45260572433472,58239,gorchfock,10.33.20.59,40.45260572433472,21
0.00020813469018321484,-0.34259658833702455,0.00020813469018321484,0.014426873888102537,0.009357756935060024,1745591656,,False,22,42a7f_00000,2025-04-25_16-34-16,1.7074246406555176,42.160030364990234,58239,gorchfock,10.33.20.59,42.160030364990234,22
